BLLM,1,,BARAS,Catanduanes,V,13-39-44.43,124-22-04.09,20000.00,20000.00,,,,,,,,,,,,,,
BLLM,2,,BARAS,Catanduanes,V,,,19988.72,20101.23,,,,,,,,,,,,,,
BLBM,,B.L. Mon Agban,BARAS,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLLM,1,,BATO,Catanduanes,V,13-36-48.71,124-17-41.67,20000.00,20000.00,,,,,,,,,,,,,,
BLLM,2,,BATO,Catanduanes,V,,,19886.69,20001.47,,,,,,,,,,,,,,
BLBM,,Sigmoto,BATO,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLBM,,San Miguel,BATO,Catanduanes,V,13-38-00,,,,,,,,No Data Available,,,,,,,,,
BLBM,,B.L. Mon Libho,BATO,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLBM,,B.L. Mon Batalay,BATO,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLBM,,B.L. Mon San Juan,BATO,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLBM,,B.L. Mon Obo,BATO,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLBM,,B.L. Mon Bote,BATO,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLBM,1,Pagsangahan,BATO,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLBM,2,Pagsangahan,BATO,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLLM,1,,CALOLBON,Catanduanes,V,13-36-05.32,124-05-44.64,20000.00,20000.00,,,,,,,,,,,,,,
BLLM,2,,CALOLBON,Catanduanes,V,,,20068.71,19919.37,,,,,,,,,,,,,,
BLBM,1,Codon,CALOLBON,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLBM,2,Codon,CALOLBON,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLBM,1,Lictin,CALOLBON,Catanduanes,V,13-36-17,,20367.26,23204.23,,,,,,,,,,,,,,
BLBM,2,Lictin,CALOLBON,Catanduanes,V,,,20486.70,23226.59,,,,,,,,,,,,,,
BLBM,1,Mamambrag,CALOLBON,Catanduanes,V,13-44-11,,4415.92,7092.90,,,,,,,,,,,,,,
BLBM,2,Mamambrag,CALOLBON,Catanduanes,V,,,4487.34,7175.71,,,,,,,,,,,,,,
BLBM,1,Palauig,CALOLBON,Catanduanes,V,13-34-28,,17007.99,24716.78,,,,,,,,,,,,,,
BLBM,2,Palauig,CALOLBON,Catanduanes,V,,,17122.10,24591.39,,,,,,,,,,,,,,
BLBM,,B.L. Mon Agoho,CALOLBON,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLBM,,B.L. Mon Maygnaway,CALOLBON,Catanduanes,V,,,,,,,,,No Data Available,,,,,,,,,
BLLM,1,,PANDAN,Catanduanes,V,,,20000.00,20000.00,,,,,,,,,,,,,,
BLLM,2,,PANDAN,Catanduanes,V,,,19924.65,19972.67,,,,,,,,,,,,,,
BLBM,1,Caramoran,PANDAN,Catanduanes,V,13-59-05,,,,,,,,No Data Available,,,,,,,,,
